City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
333,Zyryanka,RU,65.75,150.85,69.44,57,100,11.03,overcast clouds
334,Margate,GB,51.3813,1.3862,69.31,88,1,4.0,clear sky
335,Loiza,PR,18.4313,-65.8802,84.69,77,20,14.97,few clouds
336,Big Rapids,US,43.6981,-85.4837,82.47,51,0,9.22,clear sky
337,Berga,NO,60.392,5.328,64.15,86,75,10.36,broken clouds
338,Bethanien,NA,-26.502,17.1583,56.26,29,23,1.21,few clouds
339,Hokitika,NZ,-42.7167,170.9667,45.7,58,0,5.32,clear sky
340,Iralaya,HN,15.0,-83.2333,80.96,86,100,13.2,overcast clouds
341,Victoria,HK,22.2855,114.1577,83.32,90,100,11.01,overcast clouds
342,Napa,US,38.4832,-122.3344,89.56,43,1,10.22,clear sky
343,Korla,CN,41.7597,86.1469,86.68,26,44,14.97,scattered clouds
344,Ponta Do Sol,PT,32.6667,-17.1,71.71,88,47,5.84,scattered clouds
345,Bangkalan,ID,-7.0455,112.7351,80.55,88,57,3.36,broken clouds
